post_id,external_id,date,fraud_score,fraud_keywords,fraud_keyword_count,cta_phrases,cta_count,has_price_claim,price_value,has_medical_claim,medical_specificity_score,tier_recommendation
6221,3744,2023-01-01,100,healing|healing|healing|healing|healing|healing|healing|energy|frequency,9,join|join|watch|watch|watch|watch|watch|watch|watch|watch,16,False,0,True,0.6666666666666666,CRITICAL
6222,3722,2022-12-29,100,energy,1,join|join|watch|watch|watch|watch|live|live|live|live,18,False,0,False,0.0,CRITICAL
6223,3737,2022-12-31,100,healing|healing|healing|healing|healing|energy|frequency,7,join|watch|watch|watch|watch|watch|watch|watch|watch|watch,18,False,0,True,0.6666666666666666,CRITICAL
6224,3728,2022-12-30,100,energy,1,join|join|watch|watch|watch|watch|watch|watch|live|live,16,False,0,False,0.0,CRITICAL
6225,3720,2022-12-29,100,energy,1,join|join|watch|watch|watch|watch|live|live|live|live,18,False,0,False,0.0,CRITICAL
6210,3730,2022-12-30,100,energy,1,join|watch|watch|watch|watch|watch|watch|watch|watch|live,16,False,0,False,0.0,CRITICAL
6209,3732,2022-12-31,100,energy,1,join|watch|watch|watch|watch|watch|watch|watch|watch|watch,18,False,0,False,0.0,CRITICAL
6208,3769,2023-01-03,100,healing|healing|healing|healing|energy,5,join|watch|watch|watch|watch|watch|watch|watch|watch|watch,12,False,0,True,0.3333333333333333,CRITICAL
6199,3750,2023-01-01,100,healing|healing|healing|healing|healing|healing|healing|energy|frequency,9,join|join|watch|watch|watch|watch|watch|watch|watch|watch,18,False,0,True,0.6666666666666666,CRITICAL
6193,3764,2023-01-02,100,healing|healing|healing|healing|energy,5,join|join|watch|watch|watch|watch|watch|watch|watch|watch,16,False,0,True,0.3333333333333333,CRITICAL
6194,3761,2023-01-02,100,healing|healing|healing|healing|healing|healing|energy,7,join|join|watch|watch|watch|watch|watch|watch|watch|watch,16,False,0,True,0.3333333333333333,CRITICAL
6195,3746,2023-01-01,100,healing|healing|healing|healing|healing|healing|healing|energy|frequency,9,join|join|watch|watch|watch|watch|watch|watch|watch|watch,17,False,0,True,0.6666666666666666,CRITICAL
6196,3749,2023-01-01,100,healing|healing|healing|healing|healing|healing|healing|energy|frequency,9,join|join|watch|watch|watch|watch|watch|watch|watch|watch,19,False,0,True,0.6666666666666666,CRITICAL
6197,3748,2023-01-01,100,healing|healing|healing|healing|healing|healing|healing|energy|frequency,9,join|join|watch|watch|watch|watch|watch|watch|watch|watch,18,False,0,True,0.6666666666666666,CRITICAL
